Security Code,Date,Opening Price,High Sale Price,Low Sale Price,Closing Price,Total Volume Traded
APT,19 Feb 2018,6.86,6.87,6.62,6.62,463008
APT,15 Feb 2018,6.69,6.77,6.65,6.68,632894
APT,13 Feb 2018,6.5,6.76,6.46,6.46,1072733
APT,09 Feb 2018,6.67,6.77,6.5,6.6,1292880
APT,23 Jul 2019,23.67,24.72,23.65,24.68,1217010
APT,25 Jan 2018,7.73,7.8,7.71,7.72,494897
APT,23 Jan 2018,7.73,7.84,7.72,7.76,1284407
APT,19 Jan 2018,7.6,7.6,7.48,7.49,836463
APT,01 Aug 2019,26.55,27.145,25.86,26.54,920158
APT,17 Jan 2018,8.01,8.16,7.71,7.8,2661564
APT,02 Aug 2019,26.43,26.74,25.49,25.49,1220322
APT,15 Jan 2018,6.55,6.6,6.51,6.52,619928
APT,12 Aug 2019,23.68,24.08,23.43,23.72,2296941
APT,15 Aug 2019,23.13,23.7,22.78,22.86,2937430
APT,16 Aug 2019,23.02,23.94,23.02,23.26,2586090
APT,20 Dec 2017,5.57,5.74,5.54,5.68,1061508
APT,19 Dec 2017,5.37,5.6,5.31,5.56,1143693
APT,18 Dec 2017,5.33,5.44,5.27,5.33,661304
APT,13 Dec 2017,5.27,5.29,5.1,5.15,1072477
APT,08 Dec 2017,5.05,5.21,5.01,5.14,945418
APT,03 Sep 2019,31,32.13,30.87,31.93,1415938
APT,09 Sep 2019,34.13,34.28,33.03,33.87,2145949
APT,24 Nov 2017,5.37,5.37,5.1,5.23,1174816
APT,22 Nov 2017,5.7,5.78,5.61,5.65,645230
APT,20 Nov 2017,5.44,5.8,5.44,5.72,1013108
APT,16 Nov 2017,5.38,5.62,5.23,5.5,3215509
APT,14 Nov 2017,6,6,5.72,5.8,775202
APT,10 Nov 2017,5.48,5.73,5.47,5.62,807391
APT,09 Nov 2017,5.49,5.53,5.37,5.47,484568
APT,08 Nov 2017,5.49,5.63,5.43,5.43,628754
APT,03 Nov 2017,5.18,5.25,5.16,5.2,1070104
APT,02 Nov 2017,5.2,5.27,5.135,5.15,802812
APT,01 Nov 2017,5.22,5.3,5.1,5.17,993719
APT,31 Oct 2017,5.3,5.3,5.09,5.2,610370
APT,27 Oct 2017,5.4,5.55,5.355,5.37,545824
APT,26 Oct 2017,5.45,5.45,5.18,5.37,530154
APT,25 Oct 2017,5.45,5.5,5.43,5.45,441897
APT,24 Oct 2017,5.53,5.59,5.33,5.44,986573
APT,23 Oct 2017,5.44,5.62,5.44,5.5,917243
APT,20 Oct 2017,5.39,5.44,5.2,5.43,1099071
APT,19 Oct 2017,5.28,5.54,5.28,5.39,2113955
APT,18 Oct 2017,5.05,5.29,4.86,5.18,2406430
APT,17 Oct 2017,4.38,4.7,4.38,4.7,1213131
APT,16 Oct 2017,4.33,4.37,4.3,4.33,367510
APT,13 Oct 2017,4.37,4.37,4.29,4.32,332867
APT,12 Oct 2017,4.32,4.38,4.32,4.37,411282
APT,11 Oct 2017,4.31,4.35,4.21,4.3,301782
APT,10 Oct 2017,4.36,4.38,4.23,4.29,296042
APT,09 Oct 2017,4.3,4.47,4.27,4.34,294785
APT,06 Oct 2017,4.16,4.3,4.15,4.27,207375
APT,03 Oct 2017,4.33,4.38,4.17,4.2,469718
APT,02 Oct 2017,4.23,4.33,4.2,4.31,221777
APT,29 Sep 2017,4.14,4.21,4.09,4.18,303129
APT,28 Sep 2017,4.18,4.18,4.03,4.08,1669989
APT,27 Sep 2017,4.36,4.4,4.1,4.11,1097857
APT,25 Sep 2017,4.32,4.35,4.25,4.25,452671
APT,22 Sep 2017,4.36,4.4,4.27,4.3,352502
APT,20 Sep 2017,4.36,4.39,4.27,4.28,382973
APT,19 Sep 2017,4.25,4.46,4.23,4.34,651779
APT,18 Sep 2017,4.45,4.48,4.26,4.28,535685
APT,15 Sep 2017,4.6,4.63,4.44,4.45,2700843
APT,14 Sep 2017,4.48,4.75,4.48,4.6,1595031
